Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1704060000;01.01.2024 00:00;40,01
1704063600;01.01.2024 01:00;38,37
1704067200;01.01.2024 02:00;28,46
1704070800;01.01.2024 03:00;26,66
1704074400;01.01.2024 04:00;24,48
1704078000;01.01.2024 05:00;24,01
1704081600;01.01.2024 06:00;21,23
1704085200;01.01.2024 07:00;22,62
1704088800;01.01.2024 08:00;25,04
1704092400;01.01.2024 09:00;26,24
1704096000;01.01.2024 10:00;32,21
1704099600;01.01.2024 11:00;41,34
1704103200;01.01.2024 12:00;43,51
1704106800;01.01.2024 13:00;58,64
1704110400;01.01.2024 14:00;61,14
1704114000;01.01.2024 15:00;60,34
1704117600;01.01.2024 16:00;77,56
1704121200;01.01.2024 17:00;68,4
1704124800;01.01.2024 18:00;74,16
1704128400;01.01.2024 19:00;65,01
1704132000;01.01.2024 20:00;55,91
1704135600;01.01.2024 21:00;48,15
1704139200;01.01.2024 22:00;64,94
1704142800;01.01.2024 23:00;53,6
1704146400;02.01.2024 00:00;43,99
1704150000;02.01.2024 01:00;55,5
1704153600;02.01.2024 02:00;49,94
1704157200;02.01.2024 03:00;47,26
1704160800;02.01.2024 04:00;53,5
1704164400;02.01.2024 05:00;76,48
1704168000;02.01.2024 06:00;180,05
1704171600;02.01.2024 07:00;250,01
1704175200;02.01.2024 08:00;483,08
1704178800;02.01.2024 09:00;300,07
1704182400;02.01.2024 10:00;250,01
1704186000;02.01.2024 11:00;241,94
1704189600;02.01.2024 12:00;159,47
1704193200;02.01.2024 13:00;149,99
1704196800;02.01.2024 14:00;149,99
1704200400;02.01.2024 15:00;165,8
1704204000;02.01.2024 16:00;250,02
1704207600;02.01.2024 17:00;226,21
1704211200;02.01.2024 18:00;196,9
1704214800;02.01.2024 19:00;250,01
1704218400;02.01.2024 20:00;196,91
1704222000;02.01.2024 21:00;105,7
1704225600;02.01.2024 22:00;149,52
1704229200;02.01.2024 23:00;90,38
1704232800;03.01.2024 00:00;86,69
1704236400;03.01.2024 01:00;49,08
1704240000;03.01.2024 02:00;56,76
1704243600;03.01.2024 03:00;56,11
1704247200;03.01.2024 04:00;57,96
1704250800;03.01.2024 05:00;70,17
1704254400;03.01.2024 06:00;86,7
1704258000;03.01.2024 07:00;118,79
1704261600;03.01.2024 08:00;131,51
1704265200;03.01.2024 09:00;132,95
1704268800;03.01.2024 10:00;128,81
1704272400;03.01.2024 11:00;98,93
1704276000;03.01.2024 12:00;129,91
1704279600;03.01.2024 13:00;118,79
1704283200;03.01.2024 14:00;97,05
1704286800;03.01.2024 15:00;96,19
1704290400;03.01.2024 16:00;119,02
1704294000;03.01.2024 17:00;129,91
1704297600;03.01.2024 18:00;147,62
1704301200;03.01.2024 19:00;118,8
1704304800;03.01.2024 20:00;99,12
1704308400;03.01.2024 21:00;85,82
1704312000;03.01.2024 22:00;99,95
1704315600;03.01.2024 23:00;86,97
1704319200;04.01.2024 00:00;58,4
1704322800;04.01.2024 01:00;129,25
1704326400;04.01.2024 02:00;106,34
1704330000;04.01.2024 03:00;94,42
1704333600;04.01.2024 04:00;97,79
1704337200;04.01.2024 05:00;121,44
1704340800;04.01.2024 06:00;180,21
1704344400;04.01.2024 07:00;148,11
1704348000;04.01.2024 08:00;379,25
1704351600;04.01.2024 09:00;299,99
1704355200;04.01.2024 10:00;300
1704358800;04.01.2024 11:00;300,07
1704362400;04.01.2024 12:00;300
1704366000;04.01.2024 13:00;299,99
1704369600;04.01.2024 14:00;296,18
1704373200;04.01.2024 15:00;299,99
1704376800;04.01.2024 16:00;362,14
1704380400;04.01.2024 17:00;300
1704384000;04.01.2024 18:00;299,99
1704387600;04.01.2024 19:00;249,96
1704391200;04.01.2024 20:00;203,72
1704394800;04.01.2024 21:00;149,99
1704398400;04.01.2024 22:00;150
1704402000;04.01.2024 23:00;143,09
1704405600;05.01.2024 00:00;111,11
1704409200;05.01.2024 01:00;169,99
1704412800;05.01.2024 02:00;150,07
1704416400;05.01.2024 03:00;150,06
1704420000;05.01.2024 04:00;150,07
1704423600;05.01.2024 05:00;150,09
1704427200;05.01.2024 06:00;350
1704430800;05.01.2024 07:00;999,94
1704434400;05.01.2024 08:00;1478,91
1704438000;05.01.2024 09:00;1251,67
1704441600;05.01.2024 10:00;1000
1704445200;05.01.2024 11:00;999,98
1704448800;05.01.2024 12:00;800
1704452400;05.01.2024 13:00;999,91
1704456000;05.01.2024 14:00;899,06
1704459600;05.01.2024 15:00;999,97
1704463200;05.01.2024 16:00;1696,31
1704466800;05.01.2024 17:00;1758
1704470400;05.01.2024 18:00;1478,95
1704474000;05.01.2024 19:00;1896
1704477600;05.01.2024 20:00;1754
1704481200;05.01.2024 21:00;990,09
1704484800;05.01.2024 22:00;749,95
1704488400;05.01.2024 23:00;300,01
1704492000;06.01.2024 00:00;200
1704495600;06.01.2024 01:00;111,19
1704499200;06.01.2024 02:00;113,98
1704502800;06.01.2024 03:00;110,62
1704506400;06.01.2024 04:00;113,51
1704510000;06.01.2024 05:00;141,69
1704513600;06.01.2024 06:00;156,85
1704517200;06.01.2024 07:00;132,92
1704520800;06.01.2024 08:00;147,75
1704524400;06.01.2024 09:00;181,87
1704528000;06.01.2024 10:00;184
1704531600;06.01.2024 11:00;176,37
1704535200;06.01.2024 12:00;176,81
1704538800;06.01.2024 13:00;178,09
1704542400;06.01.2024 14:00;161,34
1704546000;06.01.2024 15:00;184
1704549600;06.01.2024 16:00;200
1704553200;06.01.2024 17:00;299,99
1704556800;06.01.2024 18:00;244,45
1704560400;06.01.2024 19:00;200
1704564000;06.01.2024 20:00;179,78
1704567600;06.01.2024 21:00;164,51
1704571200;06.01.2024 22:00;176,17
1704574800;06.01.2024 23:00;159,15
1704578400;07.01.2024 00:00;120,76
1704582000;07.01.2024 01:00;169,5
1704585600;07.01.2024 02:00;128,69
1704589200;07.01.2024 03:00;104
1704592800;07.01.2024 04:00;93,2
1704596400;07.01.2024 05:00;93,19
1704600000;07.01.2024 06:00;93,19
1704603600;07.01.2024 07:00;84,99
1704607200;07.01.2024 08:00;96,89
1704610800;07.01.2024 09:00;93,2
1704614400;07.01.2024 10:00;118,35
1704618000;07.01.2024 11:00;97,53
1704621600;07.01.2024 12:00;93,19
1704625200;07.01.2024 13:00;91,5
