Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1711918800;01.04.2024 00:00;43,98
1711922400;01.04.2024 01:00;40,41
1711926000;01.04.2024 02:00;40,39
1711929600;01.04.2024 03:00;40,01
1711933200;01.04.2024 04:00;37,49
1711936800;01.04.2024 05:00;36,49
1711940400;01.04.2024 06:00;36,49
1711944000;01.04.2024 07:00;40,01
1711947600;01.04.2024 08:00;52,08
1711951200;01.04.2024 09:00;49,3
1711954800;01.04.2024 10:00;40,87
1711958400;01.04.2024 11:00;37,49
1711962000;01.04.2024 12:00;30,39
1711965600;01.04.2024 13:00;18,04
1711969200;01.04.2024 14:00;20,05
1711972800;01.04.2024 15:00;10,03
1711976400;01.04.2024 16:00;4,47
1711980000;01.04.2024 17:00;19,93
1711983600;01.04.2024 18:00;13,15
1711987200;01.04.2024 19:00;40,92
1711990800;01.04.2024 20:00;47,05
1711994400;01.04.2024 21:00;48,35
1711998000;01.04.2024 22:00;44,57
1712001600;01.04.2024 23:00;26,22
1712005200;02.04.2024 00:00;0,33
1712008800;02.04.2024 01:00;5,54
1712012400;02.04.2024 02:00;1,3
1712016000;02.04.2024 03:00;0,6
1712019600;02.04.2024 04:00;0,84
1712023200;02.04.2024 05:00;1,51
1712026800;02.04.2024 06:00;7,01
1712030400;02.04.2024 07:00;56,84
1712034000;02.04.2024 08:00;76,03
1712037600;02.04.2024 09:00;68,65
1712041200;02.04.2024 10:00;46,82
1712044800;02.04.2024 11:00;38,29
1712048400;02.04.2024 12:00;39,3
1712052000;02.04.2024 13:00;39,28
1712055600;02.04.2024 14:00;38,37
1712059200;02.04.2024 15:00;33,38
1712062800;02.04.2024 16:00;25,1
1712066400;02.04.2024 17:00;8,83
1712070000;02.04.2024 18:00;41,2
1712073600;02.04.2024 19:00;70,96
1712077200;02.04.2024 20:00;93,1
1712080800;02.04.2024 21:00;92,61
1712084400;02.04.2024 22:00;42,09
1712088000;02.04.2024 23:00;25,7
1712091600;03.04.2024 00:00;1,66
1712095200;03.04.2024 01:00;25,28
1712098800;03.04.2024 02:00;20,63
1712102400;03.04.2024 03:00;16,95
1712106000;03.04.2024 04:00;12,99
1712109600;03.04.2024 05:00;26,84
1712113200;03.04.2024 06:00;68,73
1712116800;03.04.2024 07:00;88,17
1712120400;03.04.2024 08:00;115,1
1712124000;03.04.2024 09:00;114,07
1712127600;03.04.2024 10:00;89,4
1712131200;03.04.2024 11:00;81,23
1712134800;03.04.2024 12:00;77,47
1712138400;03.04.2024 13:00;73,97
1712142000;03.04.2024 14:00;71,48
1712145600;03.04.2024 15:00;68,92
1712149200;03.04.2024 16:00;71,32
1712152800;03.04.2024 17:00;74,86
1712156400;03.04.2024 18:00;90,22
1712160000;03.04.2024 19:00;108,14
1712163600;03.04.2024 20:00;120,35
1712167200;03.04.2024 21:00;99,14
1712170800;03.04.2024 22:00;74,71
1712174400;03.04.2024 23:00;61,49
1712178000;04.04.2024 00:00;55,33
1712181600;04.04.2024 01:00;54,52
1712185200;04.04.2024 02:00;60,27
1712188800;04.04.2024 03:00;50,17
1712192400;04.04.2024 04:00;51,57
1712196000;04.04.2024 05:00;72,42
1712199600;04.04.2024 06:00;78,5
1712203200;04.04.2024 07:00;112,67
1712206800;04.04.2024 08:00;249,9
1712210400;04.04.2024 09:00;249,96
1712214000;04.04.2024 10:00;79,99
1712217600;04.04.2024 11:00;75
1712221200;04.04.2024 12:00;63,06
1712224800;04.04.2024 13:00;59,49
1712228400;04.04.2024 14:00;56,22
1712232000;04.04.2024 15:00;60,06
1712235600;04.04.2024 16:00;74,99
1712239200;04.04.2024 17:00;65,66
1712242800;04.04.2024 18:00;70,08
1712246400;04.04.2024 19:00;97,51
1712250000;04.04.2024 20:00;118,81
1712253600;04.04.2024 21:00;80,58
1712257200;04.04.2024 22:00;72,71
1712260800;04.04.2024 23:00;70,84
1712264400;05.04.2024 00:00;57,67
1712268000;05.04.2024 01:00;46,78
1712271600;05.04.2024 02:00;48,27
1712275200;05.04.2024 03:00;47,52
1712278800;05.04.2024 04:00;46,53
1712282400;05.04.2024 05:00;47,34
1712286000;05.04.2024 06:00;50,02
1712289600;05.04.2024 07:00;74,99
1712293200;05.04.2024 08:00;83,67
1712296800;05.04.2024 09:00;79,7
1712300400;05.04.2024 10:00;66,46
1712304000;05.04.2024 11:00;50,5
1712307600;05.04.2024 12:00;45,54
1712311200;05.04.2024 13:00;44,43
1712314800;05.04.2024 14:00;40,03
1712318400;05.04.2024 15:00;37,07
1712322000;05.04.2024 16:00;31,04
1712325600;05.04.2024 17:00;27,61
1712329200;05.04.2024 18:00;46,75
1712332800;05.04.2024 19:00;108,38
1712336400;05.04.2024 20:00;104,1
1712340000;05.04.2024 21:00;70,06
1712343600;05.04.2024 22:00;53,4
1712347200;05.04.2024 23:00;52,73
1712350800;06.04.2024 00:00;49,62
1712354400;06.04.2024 01:00;42,05
1712358000;06.04.2024 02:00;43,78
1712361600;06.04.2024 03:00;44
1712365200;06.04.2024 04:00;44,87
1712368800;06.04.2024 05:00;47,51
1712372400;06.04.2024 06:00;48,25
1712376000;06.04.2024 07:00;49,94
1712379600;06.04.2024 08:00;59,76
1712383200;06.04.2024 09:00;58,71
1712386800;06.04.2024 10:00;48,25
1712390400;06.04.2024 11:00;47,73
1712394000;06.04.2024 12:00;39,99
1712397600;06.04.2024 13:00;39,55
1712401200;06.04.2024 14:00;37,84
1712404800;06.04.2024 15:00;34,92
1712408400;06.04.2024 16:00;39,21
1712412000;06.04.2024 17:00;40,62
1712415600;06.04.2024 18:00;60,09
1712419200;06.04.2024 19:00;95,57
