Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1719781200;01.07.2024 00:00;30,93
1719784800;01.07.2024 01:00;96,53
1719788400;01.07.2024 02:00;86,46
1719792000;01.07.2024 03:00;81,35
1719795600;01.07.2024 04:00;82,55
1719799200;01.07.2024 05:00;81,34
1719802800;01.07.2024 06:00;88,63
1719806400;01.07.2024 07:00;143,3
1719810000;01.07.2024 08:00;144,83
1719813600;01.07.2024 09:00;144,57
1719817200;01.07.2024 10:00;117,19
1719820800;01.07.2024 11:00;108,49
1719824400;01.07.2024 12:00;92,99
1719828000;01.07.2024 13:00;66,13
1719831600;01.07.2024 14:00;42,72
1719835200;01.07.2024 15:00;32,41
1719838800;01.07.2024 16:00;124,11
1719842400;01.07.2024 17:00;177,04
1719846000;01.07.2024 18:00;190,03
1719849600;01.07.2024 19:00;200,09
1719853200;01.07.2024 20:00;312,92
1719856800;01.07.2024 21:00;337,16
1719860400;01.07.2024 22:00;260,69
1719864000;01.07.2024 23:00;191,17
1719867600;02.07.2024 00:00;140,19
1719871200;02.07.2024 01:00;89,92
1719874800;02.07.2024 02:00;89,43
1719878400;02.07.2024 03:00;89,79
1719882000;02.07.2024 04:00;84
1719885600;02.07.2024 05:00;103,27
1719889200;02.07.2024 06:00;142,95
1719892800;02.07.2024 07:00;130,81
1719896400;02.07.2024 08:00;190,03
1719900000;02.07.2024 09:00;161,74
1719903600;02.07.2024 10:00;200,03
1719907200;02.07.2024 11:00;190,03
1719910800;02.07.2024 12:00;106,94
1719914400;02.07.2024 13:00;112,74
1719918000;02.07.2024 14:00;87,59
1719921600;02.07.2024 15:00;190,02
1719925200;02.07.2024 16:00;200,02
1719928800;02.07.2024 17:00;190,06
1719932400;02.07.2024 18:00;170,03
1719936000;02.07.2024 19:00;200,05
1719939600;02.07.2024 20:00;317,39
1719943200;02.07.2024 21:00;250
1719946800;02.07.2024 22:00;200,1
1719950400;02.07.2024 23:00;145,08
1719954000;03.07.2024 00:00;200
1719957600;03.07.2024 01:00;220,07
1719961200;03.07.2024 02:00;180,07
1719964800;03.07.2024 03:00;116,68
1719968400;03.07.2024 04:00;58,03
1719972000;03.07.2024 05:00;96,99
1719975600;03.07.2024 06:00;164,29
1719979200;03.07.2024 07:00;156,38
1719982800;03.07.2024 08:00;180,04
1719986400;03.07.2024 09:00;173,89
1719990000;03.07.2024 10:00;147,62
1719993600;03.07.2024 11:00;76,01
1719997200;03.07.2024 12:00;130,35
1720000800;03.07.2024 13:00;163,55
1720004400;03.07.2024 14:00;72
1720008000;03.07.2024 15:00;68,8
1720011600;03.07.2024 16:00;61,27
1720015200;03.07.2024 17:00;61,55
1720018800;03.07.2024 18:00;94,91
1720022400;03.07.2024 19:00;159,71
1720026000;03.07.2024 20:00;190
1720029600;03.07.2024 21:00;224,96
1720033200;03.07.2024 22:00;185,92
1720036800;03.07.2024 23:00;166,47
1720040400;04.07.2024 00:00;116,28
1720044000;04.07.2024 01:00;124,26
1720047600;04.07.2024 02:00;114,7
1720051200;04.07.2024 03:00;93,54
1720054800;04.07.2024 04:00;91,75
1720058400;04.07.2024 05:00;92,41
1720062000;04.07.2024 06:00;104,5
1720065600;04.07.2024 07:00;190
1720069200;04.07.2024 08:00;220,1
1720072800;04.07.2024 09:00;220,08
1720076400;04.07.2024 10:00;146,79
1720080000;04.07.2024 11:00;64
1720083600;04.07.2024 12:00;71,6
1720087200;04.07.2024 13:00;72,49
1720090800;04.07.2024 14:00;71,9
1720094400;04.07.2024 15:00;71,69
1720098000;04.07.2024 16:00;67,65
1720101600;04.07.2024 17:00;81,87
1720105200;04.07.2024 18:00;107,8
1720108800;04.07.2024 19:00;200
1720112400;04.07.2024 20:00;220,09
1720116000;04.07.2024 21:00;220,05
1720119600;04.07.2024 22:00;142,18
1720123200;04.07.2024 23:00;127,08
1720126800;05.07.2024 00:00;200,01
1720130400;05.07.2024 01:00;180,02
1720134000;05.07.2024 02:00;4,71
1720137600;05.07.2024 03:00;128,95
1720141200;05.07.2024 04:00;4,09
1720144800;05.07.2024 05:00;25,06
1720148400;05.07.2024 06:00;160,01
1720152000;05.07.2024 07:00;160,1
1720155600;05.07.2024 08:00;180,06
1720159200;05.07.2024 09:00;34,32
1720162800;05.07.2024 10:00;18,65
1720166400;05.07.2024 11:00;5,57
1720170000;05.07.2024 12:00;6,32
1720173600;05.07.2024 13:00;4,56
1720177200;05.07.2024 14:00;4,44
1720180800;05.07.2024 15:00;1,64
1720184400;05.07.2024 16:00;0
1720188000;05.07.2024 17:00;1,93
1720191600;05.07.2024 18:00;13,06
1720195200;05.07.2024 19:00;79,82
1720198800;05.07.2024 20:00;131,28
1720202400;05.07.2024 21:00;179,14
1720206000;05.07.2024 22:00;151,69
1720209600;05.07.2024 23:00;120,42
1720213200;06.07.2024 00:00;93,07
1720216800;06.07.2024 01:00;112,36
1720220400;06.07.2024 02:00;11,75
1720224000;06.07.2024 03:00;89,74
1720227600;06.07.2024 04:00;17,55
1720231200;06.07.2024 05:00;19,58
1720234800;06.07.2024 06:00;6,56
1720238400;06.07.2024 07:00;5,59
1720242000;06.07.2024 08:00;5,5
1720245600;06.07.2024 09:00;4,27
1720249200;06.07.2024 10:00;0,32
1720252800;06.07.2024 11:00;-0,04
1720256400;06.07.2024 12:00;-0,02
1720260000;06.07.2024 13:00;-0,03
1720263600;06.07.2024 14:00;-0,12
1720267200;06.07.2024 15:00;-0,01
1720270800;06.07.2024 16:00;0
1720274400;06.07.2024 17:00;0
1720278000;06.07.2024 18:00;1,78
1720281600;06.07.2024 19:00;1,94
1720285200;06.07.2024 20:00;102,85
1720288800;06.07.2024 21:00;92,55
1720292400;06.07.2024 22:00;52,7
