Periood;Börsihind eur/MWh (ei sisalda käibemaksu)
01.07.2025 00:00;2,65
01.07.2025 01:00;-0,03
01.07.2025 02:00;-0,21
01.07.2025 03:00;-0,21
01.07.2025 04:00;-0,2
01.07.2025 05:00;0
01.07.2025 06:00;3,81
01.07.2025 07:00;8,21
01.07.2025 08:00;27,43
01.07.2025 09:00;19,06
01.07.2025 10:00;5,99
01.07.2025 11:00;6,51
01.07.2025 12:00;6,91
01.07.2025 13:00;5,57
01.07.2025 14:00;6,02
01.07.2025 15:00;11,47
01.07.2025 16:00;14,51
01.07.2025 17:00;19,97
01.07.2025 18:00;42,58
01.07.2025 19:00;67,02
01.07.2025 20:00;139,31
01.07.2025 21:00;91,34
01.07.2025 22:00;72,85
01.07.2025 23:00;62,45
02.07.2025 00:00;20,07
02.07.2025 01:00;20,06
02.07.2025 02:00;19,88
02.07.2025 03:00;25,23
02.07.2025 04:00;22,53
02.07.2025 05:00;15,12
02.07.2025 06:00;28
02.07.2025 07:00;54,4
02.07.2025 08:00;61,17
02.07.2025 09:00;60,35
02.07.2025 10:00;54,63
02.07.2025 11:00;50,01
02.07.2025 12:00;24,6
02.07.2025 13:00;21,15
02.07.2025 14:00;20,29
02.07.2025 15:00;23,16
02.07.2025 16:00;35,35
02.07.2025 17:00;49,74
02.07.2025 18:00;54,54
02.07.2025 19:00;63,6
02.07.2025 20:00;146,21
02.07.2025 21:00;144,01
02.07.2025 22:00;63,05
02.07.2025 23:00;57,76
03.07.2025 00:00;25,06
03.07.2025 01:00;40,01
03.07.2025 02:00;7,27
03.07.2025 03:00;5,98
03.07.2025 04:00;8,67
03.07.2025 05:00;7,4
03.07.2025 06:00;5,99
03.07.2025 07:00;17,67
03.07.2025 08:00;25,01
03.07.2025 09:00;22,28
03.07.2025 10:00;18,3
03.07.2025 11:00;4,26
03.07.2025 12:00;3,3
03.07.2025 13:00;1,82
03.07.2025 14:00;0,46
03.07.2025 15:00;0,37
03.07.2025 16:00;0,53
03.07.2025 17:00;1,51
03.07.2025 18:00;2,43
03.07.2025 19:00;3,51
03.07.2025 20:00;3,54
03.07.2025 21:00;3,48
03.07.2025 22:00;4,4
03.07.2025 23:00;0,16
04.07.2025 00:00;0,01
04.07.2025 01:00;-0,82
04.07.2025 02:00;-1,52
04.07.2025 03:00;-1,57
04.07.2025 04:00;-1,71
04.07.2025 05:00;-1,04
04.07.2025 06:00;-1,01
04.07.2025 07:00;-0,3
04.07.2025 08:00;-0,11
